CCAA,Lat,Long_
Andalucía,37.3666666666667,-4.55
Aragón,41.6563497,-0.8765662
Asturias,43.36,-5.845
Baleares,39.5666666666667,2.65
Canarias,28.15,-16.1
Cantabria,43.45,-3.8
CastillaLaMancha,39.54,-2.876
CastillayLeón,41.6333333333333,-4.71666666666667
Cataluña,41.846,1.613
Ceuta,35.8880555555556,-5.31611111111111
Extremadura,39.238,-6.33333333333333
Galicia,42.833,-7.784
LaRioja,42.4646527777778,-2.4458
Madrid,40.4333333333333,-3.68333333333333
Melilla,35.2916666666667,-2.93833333333333
Murcia,38.002,-1.453
Navarra,42.8183333333333,-1.64416666666667
CValenciana,39.47,-0.376666666666667
PaísVasco,43.006,-2.54
